pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
202.73,-72.09,180.0,top,C1,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
162.2,-76.52,0.0,top,C2,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
176.48,-65.52,0.0,top,J1,,,DIP-18_W7.62mm,UD4,tht
176.48,-95.52,0.0,top,J2,,,DIP-18_W7.62mm,UE4,tht
154.48,-106.06,180.0,top,J3,,,PinHeader_1x02_P2.54mm_Vertical,SW,tht
154.48,-83.74,0.0,top,J4,,,PinHeader_1x06_P2.54mm_Vertical,Signals,tht
167.07,-107.52,180.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
193.86,-77.01,0.0,top,U1,,,DIP-28_W15.24mm_Socket,6264,tht
159.64,-81.2,0.0,top,U2,,,DIP-20_W7.62mm_Socket,GAL16V8,tht
