Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,MOTHERBOARD_VIC_SOCKET,DIP-40_W15.24mm,,,,tht,"Generic connector, double row, 02x20, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
J2,1,BREAKOUT_PINS,PinHeader_1x05_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)"
U1,1,6560/6561,DIP-40_W15.24mm,,,,tht,
